"ENTITY_ID","GSM_TYPE","GPRS_TYPE","SENT_BYTES","RECEIVED_BYTES","NAME","LATITUDE","LONGITUDE","POSTAL_CODE","DBM"
"826184","UNKNOWN","START","","","GPRS","37,4813388889","-6,0153388889","41980","-105"
"822476","UNKNOWN","START","","","GPRS","39,1214","-0,4409138889","46740","-58"
"827411","UNKNOWN","START","","","GPRS","40,4566888889","-3,9431361111","28229","-54"
"816385","UNKNOWN","STOP","0","0","UNKNOWN","40,943675","-5,6671638889","37008","-70"
"826116","UNKNOWN","STOP","2316","1016","UNKNOWN","36,4942111111","-4,7466361111","29604","-88"
"884070","UNKNOWN","STOP","0","0","UNKNOWN","38,9661638889","-0,18115","46701","-71"
"884162","UNKNOWN","STOP","1791","1490","UNKNOWN","40,4162388889","-3,694325","28014","-63"
"762420","UNKNOWN","STOP","0","0","UNKNOWN","41,3599138889","2,109675","8907","-83"
"762505","UNKNOWN","STOP","0","0","UNKNOWN","41,3558638889","2,1154388889","8907","-94"
"762517","UNKNOWN","STOP","0","0","UNKNOWN","41,3599138889","2,109675","8907","-63"
"761692","UNKNOWN","STOP","0","0","UNKNOWN","41,3599138889","2,109675","8907","-100"
"762844","UNKNOWN","STOP","0","0","UNKNOWN","41,3599","2,11495","8901","-78"
"794525","UNKNOWN","STOP","0","0","UNKNOWN","40,3906","-3,8658","28660","-76"
"800477","UNKNOWN","STOP","0","0","UNKNOWN","41,4674138889","2,246525","8915","-104"
"801218","UNKNOWN","STOP","0","0","UNKNOWN","38,912775","1,41045","7800","-66"
"806882","UNKNOWN","START","","","GPRS","39,6273","3,3671888889","7550","-58"
"808551","UNKNOWN","START","","","GPRS","36,7778","-4,1059361111","29700","-54"
"831779","UNKNOWN","START","","","GPRS","42,882225","-8,5422888889","15704","-106"
"826544","UNKNOWN","STOP","8181","8858","UNKNOWN","40,670425","-4,0893138889","28440","-108"
"838936","UNKNOWN","START","","","GPRS","36,1470888889","-5,44995","11205","-91"
"823668","UNKNOWN","STOP","0","0","UNKNOWN","41,7227","1,82705","8241","-66"
"828594","UNKNOWN","START","","","GPRS","41,0659611111","1,0632611111","43850","-98"
"832788","UNKNOWN","START","","","GPRS","39,5090388889","2,5321","7181","-59"
"762947","UNKNOWN","STOP","0","0","UNKNOWN","41,3579","2,1115","8901","-71"
"763140","UNKNOWN","STOP","0","0","UNKNOWN","41,3579","2,1115","8901","-71"
"763541","UNKNOWN","STOP","0","0","UNKNOWN","41,3599","2,11495","8901","-87"
"785158","UNKNOWN","START","","","GPRS","41,5473111111","2,10865","8201","-79"
"810105","UNKNOWN","START","","","GPRS","36,735425","-3,9698611111","29793","-70"
"810203","UNKNOWN","STOP","7653","6696","UNKNOWN","38,9770888889","-5,7998","6700","-101"
"810769","UNKNOWN","STOP","8875","8933","UNKNOWN","38,3655","-0,4106111111","3540","-91"
"811509","UNKNOWN","STOP","2428","2526","UNKNOWN","42,3420611111","-3,7008","9003","-98"
"812487","UNKNOWN","STOP","464","581","UNKNOWN","40,557875","-3,6172","28703","-104"
"817570","UNKNOWN","STOP","0","0","UNKNOWN","40,547675","-3,45175","28814","-63"
"817397","UNKNOWN","START","","","GPRS","43,17275","-6,5622611111","33800","-60"
"819162","UNKNOWN","STOP","0","0","UNKNOWN","37,8756638889","-4,824625","14005","-55"
"839567","UNKNOWN","START","","","GPRS","36,691725","-4,477125","29004","-102"
"824567","UNKNOWN","START","","","GPRS","40,4470138889","-3,7020861111","28039","-78"
"821982","UNKNOWN","STOP","828","770","UNKNOWN","41,3307","2,090925","8820","-92"
"893193","UNKNOWN","START","","","GPRS","41,37945","2,1844388889","8003","-98"
"779421","UNKNOWN","START","","","GPRS","38,9748111111","-5,79475","6700","-103"
"779770","UNKNOWN","STOP","1037","795","UNKNOWN","43,3665638889","-8,4054638889","15004","-79"
"811733","UNKNOWN","START","","","GPRS","36,4935138889","-4,9639638889","29660","-96"
"814702","UNKNOWN","START","","","GPRS","36,7992611111","-2,6547861111","4738","-79"
"814873","UNKNOWN","START","","","GPRS","37,894","-4,7526861111","14014","-66"
"814006","UNKNOWN","STOP","0","0","UNKNOWN","42,6202861111","-8,7194138889","36617","-62"
"815779","UNKNOWN","START","","","GPRS","40,4585","-3,5877","28042","-67"
"815864","UNKNOWN","STOP","0","0","UNKNOWN","36,5103777778","-4,8860833333","29601","-85"
"840201","UNKNOWN","STOP","0","0","UNKNOWN","38,5383083333","-0,13","3501","-99"
"819430","UNKNOWN","START","","","GPRS","39,5921111111","2,6127888889","7011","-82"
"820960","UNKNOWN","STOP","2790","1223","UNKNOWN","41,655475","-0,874325","50001","-106"
"829956","UNKNOWN","STOP","3011","1913","UNKNOWN","40,5473111111","-3,278","28880","-70"
"824213","UNKNOWN","STOP","12613","13171","UNKNOWN","38,7039138889","-0,47945","3803","-53"
"784179","UNKNOWN","START","","","GPRS","38,0557","-6,11645","6908","-89"
"786054","UNKNOWN","START","","","GPRS","38,43625","-6,3971","6230","-70"
"787113","UNKNOWN","START","","","GPRS","42,052","3,19725","17258","-62"
"788527","UNKNOWN","START","","","GPRS","40,453725","-3,468025","28850","-67"
"788057","UNKNOWN","STOP","0","0","UNKNOWN","38,6732138889","-5,1491388889","6600","-92"
"788144","UNKNOWN","STOP","2792","1172","UNKNOWN","39,4683361111","-0,3391138889","46022","-80"
"819952","UNKNOWN","STOP","4959","4039","UNKNOWN","38,5369361111","-0,13165","3501","-87"
"816050","UNKNOWN","START","","","GPRS","42,2372361111","-8,717825","36201","-80"
"821631","UNKNOWN","STOP","0","0","UNKNOWN","36,7636638889","-6,3796","11550","-53"
"825410","UNKNOWN","STOP","123530","129080","UNKNOWN","36,4716833333","-6,1726388889","11100","-108"
