"ENTITY_ID","LATITUDE","LONGITUDE","POSTAL_CODE"
"789862","37,1632638889","-3,59415","18008"
"793092","42,024","3,111075","17257"
"793413","40,429125","-3,6899638889","28001"
"821055","43,213725","-7,28675","27246"
"836062","40,4426722222","-3,6570388889","28028"
"814684","37,90085","-4,71985","14014"
"838163","40,42245","-3,6732361111","28009"
"819346","40,3044611111","-3,4391","28500"
"819515","40,4396138889","-3,9765638889","28691"
"797477","37,518825","-6,817425","21600"
"882906","41,377475","2,165125","8015"
"883539","39,4709083333","-0,3736861111","46002"
"885574","41,4762222222","7,9247166667","0"
"885550","39,4751138889","-0,3745861111","46002"
"801229","40,4206138889","-3,68265","28009"
"815488","39,5720111111","2,6546611111","7002"
"824130","37,3373888889","-5,97135","41012"
"792281","41,428375","1,78385","8770"
"804467","42,4324416667","-8,6391861111","36002"
"781772","40,43495","-3,7093638889","28015"
"806078","36,540825","-4,6247","29640"
"786883","41,6531","-0,8802861111","50003"
"814763","38,913775","-6,342725","6800"
"789394","41,3186638889","2,0131","8840"
"791352","37,3903138889","-5,9923222222","41004"
"831287","38,0012361111","-1,130575","30007"
"809807","36,71385","-4,429225","29002"
"827567","43,1849","-2,4650638889","20600"
"777402","37,2086861111","-7,4071888889","21420"
"792723","41,0775888889","1,125875","43840"
"828254","40,4039138889","-3,6057861111","28032"
"808663","40,2694138889","-3,007975","19116"
"823704","36,4232","-5,1552","29680"
"817650","36,5889888889","-4,573025","29639"
"805474","37,3293","-2,1216888889","4815"
"856512","43,245425","-2,9075","48004"
"856799","41,6522527778","-4,7316666667","47009"
"856858","41,5313","2,1225861111","8203"
"855106","41,9629777778","-2,9829166667","9693"
"811731","40,9659361111","-5,6634638889","37002"
"782719","37,350575","-5,8438138889","41500"
"822768","38,92115","-0,6489861111","46691"
"782972","40,551075","-3,99945","28270"
"880543","41,6227361111","2,6438611111","8370"
"1165858","40,4444888889","-3,6557","28027"
"1026145","42,8551666667","-2,7122055556","1010"
"709837","41,369425","2,1029861111","8905"
"884389","42,8483388889","-2,6804361111","1008"
"878082","37,82975","-0,7947361111","30740"
"763455","41,3599","2,10805","8901"
"709911","39,978525","-0,0353","12002"
"813486","40,0709","-2,138725","16004"
"819106","41,5062888889","2,10705","8214"
"761454","41,3558638889","2,1154388889","8907"
"1025955","43,2998611111","-2,8725611111","48170"
"790374","38,8880138889","1,406875","7800"
"792583","41,1195111111","1,2462861111","43005"
"792685","37,583725","-4,647625","14550"
"795569","36,626925","-4,4987611111","29620"
"821264","41,6341388889","2,371375","8440"
"826713","40,4267","-3,6851111111","28001"
"814888","36,735225","-4,549525","29590"
"815923","40,4383138889","-3,626275","28037"
"834782","36,4149416667","-5,1587277778","29680"
"817866","39,886975","-0,0842861111","12530"
"819408","36,4211","-6,1499888889","11130"
"835903","40,3980194444","-3,7065722222","28005"
"810290","40,548825","-3,630375","28701"
"810345","41,2881388889","2,0737694444","8820"
"817272","40,2344611111","0,2010638889","12596"
"879195","36,7460138889","-5,15895","29400"
"1165773","40,4439527778","-3,6570166667","28027"
"1165857","40,4444888889","-3,6557","28027"
"1141942","43,2528861111","-2,9261361111","48003"
"1008687","43,3062138889","-1,9772","20010"
"1008899","41,93185","2,2484","8500"
"968033","40,46505","-3,6717361111","28016"
"1070710","36,7330888889","-3,68635","18690"
"968240","40,2273611111","-3,773175","28981"
"1112582","41,3810611111","2,0672138889","8960"
"968214","39,552975","-0,388675","46113"
"1208378","43,2943944444","-2,8597944444","48170"
"1208396","43,2998611111","-2,8725611111","48170"
"1110520","41,6416638889","-0,9798388889","50197"
"1045756","43,2998861111","-2,8663","48170"
"1046162","43,2998611111","-2,8725611111","48170"
"1046578","40,0415194444","-2,1083722222","16004"
"1047292","40,3818","-5,496425","5697"
"762535","41,3599138889","2,109675","8907"
"762582","41,3599138889","2,109675","8907"
"821510","38,255325","-6,018875","6900"
"806504","43,2444777778","-2,2561833333","20740"
"795677","38,99585","-1,8615","2004"
"797800","41,417825","1,261975","43424"
"797962","38,9663722222","-0,1839083333","46702"
"799174","41,425825","2,1600861111","8032"
"804477","37,99485","-3,466825","23440"
"804692","36,7206388889","-4,4043888889","29016"
"827580","40,5639361111","-3,6207","28703"
"832773","37,2065916667","-7,2147","21449"
"830548","27,784675","-15,715775","35130"
"819681","42,3744361111","1,456775","25700"
"828374","36,42485","-5,1487388889","29680"
"820204","38,6710138889","-0,481225","3801"
"819217","40,4724638889","-3,6932138889","28029"
"820794","40,41405","-3,7054361111","28012"
"826936","37,69055","-1,710225","30811"
"827703","38,1096611111","-1,8640611111","30400"
"830167","43,2933","-3,00675","48510"
"836200","36,482425","-4,9891","29670"
"1110562","38,9104388889","1,42555","7800"
"805038","39,97135","-4,2636611111","45500"
"812431","40,7278","-4,076775","28470"
"812917","41,435125","2,1819111111","8030"
"833411","36,23015","-5,389","11360"
"822316","39,680625","-3,9736638889","45100"
"816468","42,1629861111","-8,5208861111","36860"
"826662","40,526225","-3,535125","28860"
"819250","41,6134","0,6241777778","25002"
"819125","37,3434111111","-5,9398638889","41089"
"842216","40,46135","-3,6966611111","28020"
"829859","40,4301916667","-3,6650638889","28028"
"821451","42,614325","-7,153325","27324"
